track_name,artist_name,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,sadness,joy,love,anger,fear,surprise,LABEL_0,LABEL_1,LABEL_2,NEGATIVE,POSITIVE
(It Goes Like) Nanana - Edit,Peggy Gou,2023-06-15,231545,93,73,"['electra', 'float house']",0.12,0.671,0.876,0.188,0.0823,-5.681,0.0352,129.998,0.964,0.9765393733978271,0.015182765200734138,0.0009677429916337132,0.003206901252269745,0.0033887976314872503,0.000714440131559968,0.1692308485507965,0.7761535048484802,0.054615698754787445,0.9930933713912964,0.006906673312187195
Barbie World,Nicki Minaj,2023-06-23,109750,95,86,"['hip pop', 'pop', 'queens hip hop', 'rap']",0.519,0.77,0.58,0.000127,0.233,-8.393,0.247,144.072,0.753,0.11457878351211548,0.2511718273162842,0.007338047027587891,0.5427999496459961,0.07892999053001404,0.00518144853413105,0.30620187520980835,0.6429300308227539,0.05086808651685715,0.9977460503578186,0.002253963379189372
Paint The Town Red,Doja Cat,2023-08-04,231750,91,84,"['dance pop', 'pop']",0.269,0.868,0.538,3.34e-06,0.0901,-8.603,0.174,99.968,0.732,0.004064859822392464,0.9900451302528381,0.002186971250921488,0.0017972994828596711,0.0006272674072533846,0.001278578769415617,0.23730197548866272,0.6537623405456543,0.10893574357032776,0.9961735606193542,0.003826493863016367
Seven,Jung Kook,2023-07-14,184400,100,85,['k-pop'],0.311,0.802,0.832,0.0,0.0815,-4.107,0.0434,124.997,0.89,0.0017717675073072314,0.0016989551950246096,0.9945167899131775,0.0006092327530495822,0.0006417118711397052,0.0007615264039486647,0.04003925621509552,0.8275371193885803,0.13242369890213013,0.9713208079338074,0.02867925725877285
bad idea right?,Olivia Rodrigo,2023-08-11,184783,90,85,['pop'],0.00196,0.628,0.878,1.23e-05,0.0649,-3.468,0.0901,129.976,0.796,0.09906462579965591,0.5989152789115906,0.006374647840857506,0.21041268110275269,0.08077887445688248,0.004453936126083136,0.5493692755699158,0.4040640592575073,0.046566758304834366,0.9968275427818298,0.0031724837608635426
Cruel Summer,Taylor Swift,2019-08-23,178426,99,100,['pop'],0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564,0.41209521889686584,0.4105492830276489,0.019210437312722206,0.13785530626773834,0.016868334263563156,0.0034213969483971596,0.6289471983909607,0.3427858054637909,0.02826697751879692,0.9942737221717834,0.005726232659071684
Dance The Night,Dua Lipa,2023-05-25,176579,97,86,"['dance pop', 'pop', 'uk pop']",0.0207,0.671,0.845,0.0,0.329,-4.93,0.048,110.056,0.775,0.009718055836856365,0.9806052446365356,0.0023127037566155195,0.002347696805372834,0.0041985963471233845,0.0008178249699994922,0.39994239807128906,0.5394971370697021,0.060560442507267,0.1324324756860733,0.8675675988197327
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,222369,98,88,"['art pop', 'electropop', 'pop']",0.959,0.444,0.0911,1.05e-06,0.098,-17.665,0.0307,78.403,0.142,0.1556355506181717,0.40498408675193787,0.014512562192976475,0.3059200942516327,0.10811108350753784,0.01083650067448616,0.08085015416145325,0.8786094188690186,0.040540315210819244,0.9724278450012207,0.027572190389037132
Popular,The Weeknd,2023-06-02,215466,93,94,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.0569,0.855,0.678,3.69e-05,0.412,-6.276,0.189,99.029,0.852,0.0022562614176422358,0.9863022565841675,0.0016471747076138854,0.0014957651728764176,0.0016377436695620418,0.006660781800746918,0.2414247989654541,0.6785905957221985,0.07998458296060562,0.9947347640991211,0.005265310872346163
Super Shy,NewJeans,2023-07-07,154666,95,84,"['k-pop', 'k-pop girl group']",0.18,0.776,0.817,3.44e-05,0.146,-6.018,0.0748,149.921,0.515,0.033366166055202484,0.14434605836868286,0.01227637380361557,0.035265617072582245,0.7672210931777954,0.007524695247411728,0.2167695164680481,0.6689822673797607,0.11424831300973892,0.9918298125267029,0.008170189335942268
fukumean,Gunna,2023-06-16,125040,96,84,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.119,0.847,0.622,0.0,0.285,-6.747,0.0903,130.001,0.22,0.004332731477916241,0.9878858327865601,0.0019226049771532416,0.00244663143530488,0.001655738102272153,0.0017562956782057881,0.12080222368240356,0.7465645670890808,0.13263310492038727,0.9918668866157532,0.008133105002343655
LALA,Myke Towers,2023-03-23,197920,99,87,"['reggaeton', 'trap latino', 'urbano latino']",0.0739,0.708,0.737,0.00162,0.0955,-4.045,0.0436,91.986,0.607,0.19227655231952667,0.6854153871536255,0.017632365226745605,0.06735748052597046,0.03222716972231865,0.0050910902209579945,0.1545489877462387,0.7089579105377197,0.13649310171604156,0.9779004454612732,0.022099578753113747
vampire,Olivia Rodrigo,2023-06-30,219724,98,85,['pop'],0.169,0.511,0.532,0.0,0.311,-5.745,0.056,137.827,0.322,0.01774854212999344,0.9691276550292969,0.0013465709052979946,0.005181403364986181,0.005079722963273525,0.0015162307536229491,0.6346957087516785,0.3252233564853668,0.040080998092889786,0.9967883825302124,0.00321168452501297
As It Was,Harry Styles,2022-03-31,167303,91,85,['pop'],0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,0.5037667751312256,0.22149325907230377,0.0059608956798911095,0.23628655076026917,0.029949290677905083,0.0025432647671550512,0.10957995057106018,0.7794939279556274,0.11092615127563477,0.9970044493675232,0.0029955331701785326
